"app","bc","ug"
66533,"CO_10.2","NA_BG"
66533,"CO_10.3","NA_BG"
66545,"CO_10.2","NA_BG"
66558,"CO_10.2","NA_BG"
66558,"CS_03.8.2","NA_BG"
67358,"CS_03.2.4","NA_BG"
67358,"EN_5.4","NA_BG"
67853,"CS_03.1.5","NA_BG"
67982,"EN_3.2","NA_BG"
68037,"CO_10.2","NA_BG"
68045,"CO_10.2","NA_BG"
68048,"CO_10.2","NA_BG"
68178,"CO_10.2","NA_BG"
68195,"EN_2.3","NA_BG"
68199,"EN_2.3","NA_BG"
68201,"EN_2.3","NA_BG"
68203,"EN_2.3","NA_BG"
68205,"EN_2.1","NA_BG"
68207,"EN_2.3","NA_BG"
68864,"CS_03.1.3","NA_BG"
69054,"CS_03.5.4","NA_BG"
69054,"CS_03.5.5","NA_BG"
69221,"EN_6.4","NA_BG"
72793,"CS_03.1.2","NA_BG"
72793,"CS_03.1.3","NA_BG"
72793,"CS_03.5.5","NA_BG"
72807,"CO_03.4","NA_BG"
72870,"CS_03.1.3","NA_BG"
72870,"CS_03.1.5","NA_BG"
73064,"EN_6.2","NA_BG"
73175,"CO_10.1","NA_BG"
73175,"CO_10.2","NA_BG"
73210,"CS_03.3.4","NA_BG"
73212,"CS_03.1.4","NA_BG"
73253,"EN_1.4","NA_BG"
73291,"CS_03.1.5","NA_BG"
73291,"CS_03.1.7","NA_BG"
73291,"CS_03.1.8","NA_BG"
73291,"CS_03.5.1","NA_BG"
73291,"CS_03.5.3","NA_BG"
73293,"CO_08.8","NA_BG"
73423,"CS_03.9.3","NA_BG"
73423,"CS_03.9.5","NA_BG"
73425,"EN_2.1","NA_BG"
73436,"EN_5.4","NA_BG"
73618,"EN_5.3","NA_BG"
73622,"EN_1.2","NA_BG"
73814,"EN_2.1","NA_BG"
73814,"EN_2.2","NA_BG"
73814,"EN_5.4","NA_BG"
73857,"EN_5.5","NA_BG"
73896,"CS_03.8.7","NA_BG"
74319,"CO_08.4","NA_BG"
74355,"EN_3.2","NA_BG"
74380,"CS_03.1.3","NA_BG"
74383,"CS_03.1.3","NA_BG"
74383,"CS_03.1.5","NA_BG"
74383,"CS_03.1.6","NA_BG"
74383,"CS_03.6.1","NA_BG"
74383,"CS_03.6.2","NA_BG"
74383,"CS_03.6.3","NA_BG"
74383,"CS_03.6.4","NA_BG"
74383,"CS_03.6.5","NA_BG"
74383,"CS_03.6.6","NA_BG"
74383,"CS_03.6.7","NA_BG"
74383,"CS_03.7.1","NA_BG"
74383,"CS_03.7.2","NA_BG"
74383,"CS_03.7.3","NA_BG"
74383,"CS_03.7.4","NA_BG"
74731,"CO_03.3","NA_BG"
74737,"CO_08.4","NA_BG"
74746,"EN_5.4","NA_BG"
74780,"CS_03.1.3","NA_BG"
74782,"CS_03.3.4","NA_BG"
74782,"EN_5.4","NA_BG"
74805,"EN_1.4","NA_BG"
74807,"CO_08.8","NA_BG"
74811,"CO_03.3","NA_BG"
74836,"EN_5.7","NA_BG"
74874,"CO_03.4","NA_BG"
74874,"CO_03.5","NA_BG"
74952,"CS_03.1.3","NA_BG"
74952,"CS_03.1.7","NA_BG"
74952,"CS_03.1.9","NA_BG"
74952,"CS_03.2.6","NA_BG"
74952,"CS_03.3.4","NA_BG"
74952,"CS_03.3.6","NA_BG"
74958,"EN_5.7","NA_BG"
75045,"CO_01.3","NA_BG"
75045,"CO_08.6","NA_BG"
75049,"CO_01.3","NA_BG"
75049,"CO_08.6","NA_BG"
75059,"CO_10.1","NA_BG"
75102,"EN_4.2","NA_BG"
75109,"CO_04.7","NA_BG"
75120,"CO_08.8","NA_BG"
75151,"CO_10.2","NA_BG"
75154,"EN_3.1","NA_BG"
75157,"EN_3.1","NA_BG"
75160,"EN_3.1","NA_BG"
75163,"EN_3.1","NA_BG"
75166,"EN_3.1","NA_BG"
75169,"EN_3.1","NA_BG"
75315,"CO_03.3","NA_BG"
75317,"CS_03.1.2","NA_BG"
75317,"CS_03.1.4","NA_BG"
75317,"CS_03.1.6","NA_BG"
75317,"CS_03.1.7","NA_BG"
75317,"CS_03.1.8","NA_BG"
75317,"CS_03.2.2","NA_BG"
75317,"CS_03.2.3","NA_BG"
75317,"CS_03.2.4","NA_BG"
75317,"CS_03.2.5","NA_BG"
75323,"CS_03.6.1","NA_BG"
75332,"CS_03.1.9","NA_BG"
75332,"CS_03.2.6","NA_BG"
75332,"CS_03.2.7","NA_BG"
75332,"CS_03.3.1","NA_BG"
75332,"CS_03.3.2","NA_BG"
75332,"CS_03.3.5","NA_BG"
75332,"CS_03.3.6","NA_BG"
75332,"CS_03.3.8","NA_BG"
75371,"CS_03.5.1","NA_BG"
75371,"CS_03.5.2","NA_BG"
75371,"CS_03.9.1","NA_BG"
75382,"CS_03.1.4","NA_BG"
75382,"CS_03.4.3","NA_BG"
75382,"CS_03.4.4","NA_BG"
75384,"CS_03.8.4","NA_BG"
75386,"CO_03.3","NA_BG"
75388,"CS_03.5.6","NA_BG"
75390,"CS_03.2","NA_BG"
75392,"CO_03.3","NA_BG"
75392,"CS_03.1.3","NA_BG"
75392,"CS_03.1.4","NA_BG"
75392,"CS_03.3.4","NA_BG"
75392,"CS_03.3.6","NA_BG"
75926,"CO_01.8.2","NA_BG"
75932,"CO_02.2","NA_BG"
78888,"CS_03.1.4","NA_BG"
78888,"CS_03.8.4","NA_BG"
78901,"CO_6.3.6","NA_BG"
78903,"CO_08.13","NA_BG"
78955,"CS_03.2.5","NA_BG"
78955,"CS_03.3.6","NA_BG"
78957,"CS_03.3.4","NA_BG"
78979,"CO_10.1","NA_BG"
78979,"CO_10.2","NA_BG"
78979,"CO_10.3","NA_BG"
78984,"EN_5.4","NA_BG"
78995,"CO_01.3","NA_BG"
78995,"EN_5.4","NA_BG"
79012,"CS_03.1.2","NA_BG"
79051,"CO_01.3","NA_BG"
79078,"CO_03.2","NA_BG"
79080,"CO_03.2","NA_BG"
79203,"CS_03.1.3","NA_BG"
79203,"CS_03.1.5","NA_BG"
79218,"CO_03.2","NA_BG"
79220,"CO_03.2","NA_BG"
79220,"CO_03.3","NA_BG"
79249,"EN_2.1","NA_BG"
79281,"CO_03.3","NA_BG"
79281,"CO_09.1","NA_BG"
79286,"EN_5.5","NA_BG"
79294,"EN_1.4","NA_BG"
79374,"EN_3.2","NA_BG"
79374,"EN_3.6","NA_BG"
79490,"CS_03.1.2","NA_BG"
